LEFT|43.1082|170.042|44.4721|18.1908|176.01|-62.7271|-17.3625|174.48|-86.6041|-48.6407|169.987|-84.8805|-100.412|162.627|-62.6701|SERVO1
LEFT|43.107|170.049|44.4801|18.1653|176.04|-62.7427|-17.381|174.502|-86.6115|-48.6517|170.004|-84.884|-100.422|162.638|-62.6715|SERVO1
LEFT|43.1053|170.06|44.493|18.1451|176.064|-62.7554|-17.3945|174.518|-86.6172|-48.6636|170.024|-84.8881|-100.431|162.647|-62.6729|SERVO1
LEFT|43.103|170.075|44.5108|18.1289|176.083|-62.766|-17.4028|174.528|-86.6209|-48.6748|170.043|-84.8923|-100.437|162.654|-62.6739|SERVO1
LEFT|43.1004|170.095|44.533|18.1172|176.098|-62.7738|-17.4097|174.536|-86.624|-48.6855|170.061|-84.8965|-100.442|162.659|-62.6748|SERVO1
LEFT|43.0975|170.119|44.5593|18.1102|176.106|-62.7786|-17.4155|174.543|-86.6268|-48.6961|170.079|-84.9008|-100.446|162.664|-62.6757|SERVO1
LEFT|43.0948|170.145|44.5877|18.1041|176.114|-62.7829|-17.4206|174.549|-86.6292|-48.7064|170.098|-84.9052|-100.452|162.671|-62.6768|SERVO1
LEFT|43.0921|170.173|44.6169|18.0942|176.126|-62.7898|-17.4287|174.56|-86.6332|-48.716|170.115|-84.9094|-100.461|162.681|-62.6785|SERVO1
LEFT|43.0893|170.202|44.648|18.0792|176.146|-62.8004|-17.441|174.576|-86.6392|-48.7264|170.134|-84.914|-100.473|162.693|-62.6806|SERVO1
LEFT|43.0866|170.233|44.6811|18.0583|176.175|-62.8148|-17.4566|174.596|-86.6469|-48.7374|170.154|-84.919|-100.485|162.707|-62.683|SERVO1
LEFT|43.0843|170.261|44.7104|18.0324|176.212|-62.833|-17.4739|174.619|-86.6556|-48.7485|170.175|-84.9242|-100.499|162.721|-62.6857|SERVO1
LEFT|43.0818|170.292|44.7425|18.0023|176.254|-62.854|-17.4905|174.642|-86.664|-48.7599|170.196|-84.9295|-100.516|162.739|-62.6889|SERVO1
LEFT|43.0795|170.323|44.7751|17.9697|176.301|-62.877|-17.5031|174.658|-86.6704|-48.7721|170.219|-84.9352|-100.535|162.76|-62.6924|SERVO1
LEFT|43.0771|170.355|44.8094|17.935|176.351|-62.9015|-17.518|174.678|-86.678|-48.7853|170.245|-84.9416|-100.557|162.782|-62.6963|SERVO1
LEFT|43.0747|170.388|44.8448|17.8992|176.402|-62.9269|-17.5365|174.705|-86.6873|-48.7992|170.272|-84.9483|-100.58|162.807|-62.7005|SERVO1
LEFT|43.0724|170.421|44.8791|17.863|176.455|-62.9528|-17.5577|174.735|-86.6981|-48.8139|170.302|-84.9555|-100.604|162.833|-62.7049|SERVO1
LEFT|43.0702|170.453|44.9123|17.8278|176.507|-62.978|-17.5812|174.769|-86.71|-48.8292|170.334|-84.9632|-100.63|162.861|-62.7094|SERVO1
LEFT|43.068|170.486|44.9463|17.7949|176.555|-63.0016|-17.6063|174.807|-86.7228|-48.8449|170.367|-84.9711|-100.656|162.889|-62.7139|SERVO1
LEFT|43.066|170.516|44.9775|17.7667|176.598|-63.0218|-17.6329|174.848|-86.736|-48.8607|170.4|-84.9792|-100.682|162.918|-62.7183|SERVO1
LEFT|43.0644|170.54|45.0025|17.7415|176.636|-63.0397|-17.66|174.89|-86.7495|-48.8764|170.435|-84.9871|-100.709|162.947|-62.7227|SERVO1
LEFT|43.0632|170.558|45.0216|17.7174|176.674|-63.0566|-17.6871|174.933|-86.7628|-48.8921|170.471|-84.995|-100.734|162.976|-62.7268|SERVO1
LEFT|43.0622|170.573|45.0377|17.6942|176.712|-63.0728|-17.7127|174.974|-86.7755|-48.9072|170.506|-85.0028|-100.759|163.004|-62.7305|SERVO1
LEFT|43.0614|170.586|45.0509|17.6715|176.75|-63.0884|-17.7364|175.013|-86.7871|-48.9219|170.54|-85.0102|-100.783|163.03|-62.7341|SERVO1
LEFT|43.0607|170.597|45.0628|17.6505|176.786|-63.1028|-17.7566|175.045|-86.7971|-48.9355|170.573|-85.0171|-100.806|163.056|-62.7374|SERVO1
LEFT|43.0601|170.606|45.0716|17.6319|176.817|-63.1155|-17.7737|175.073|-86.8054|-48.9483|170.603|-85.0235|-100.822|163.074|-62.7397|SERVO1
LEFT|43.0597|170.612|45.0779|17.6174|176.842|-63.1255|-17.7884|175.097|-86.8126|-48.9588|170.628|-85.0288|-100.834|163.087|-62.7413|SERVO1
LEFT|43.0595|170.615|45.0813|17.6051|176.863|-63.1339|-17.7988|175.114|-86.8177|-48.9648|170.643|-85.0317|-100.843|163.097|-62.7426|SERVO1
LEFT|43.0593|170.618|45.084|17.5939|176.882|-63.1415|-17.8082|175.129|-86.8222|-48.9685|170.652|-85.0335|-100.852|163.107|-62.7438|SERVO1
LEFT|43.059|170.622|45.089|17.5824|176.901|-63.1493|-17.8192|175.147|-86.8275|-48.9717|170.659|-85.0351|-100.863|163.119|-62.7453|SERVO1
LEFT|43.0586|170.628|45.0952|17.57|176.922|-63.1576|-17.8308|175.166|-86.833|-48.9754|170.668|-85.0368|-100.876|163.133|-62.7468|SERVO1
LEFT|43.0583|170.631|45.0991|17.5471|176.959|-63.1728|-17.8495|175.195|-86.8416|-48.9818|170.682|-85.0396|-100.893|163.15|-62.7485|SERVO1
LEFT|43.0583|170.632|45.1|17.5389|176.972|-63.1782|-17.856|175.205|-86.8445|-48.9841|170.687|-85.0405|-100.897|163.155|-62.7489|SERVO1
LEFT|43.0582|170.633|45.1008|17.53|176.986|-63.1838|-17.8628|175.215|-86.8474|-48.9864|170.692|-85.0414|-100.902|163.159|-62.7491|SERVO1
LEFT|43.0582|170.633|45.1013|17.5205|177.0|-63.1899|-17.87|175.226|-86.8504|-48.989|170.697|-85.0422|-100.906|163.163|-62.7492|SERVO1
LEFT|43.0582|170.634|45.1017|17.5101|177.016|-63.1964|-17.8779|175.237|-86.8535|-48.9918|170.702|-85.043|-100.91|163.166|-62.7492|SERVO1
LEFT|43.0582|170.634|45.1021|17.4988|177.032|-63.2033|-17.8867|175.248|-86.8569|-48.995|170.708|-85.0438|-100.914|163.169|-62.7492|SERVO1
LEFT|43.0581|170.634|45.1023|17.4866|177.048|-63.2106|-17.8963|175.26|-86.8605|-48.9987|170.714|-85.0447|-100.918|163.173|-62.749|SERVO1
LEFT|43.0581|170.634|45.1025|17.4737|177.066|-63.2183|-17.9069|175.273|-86.8644|-49.0028|170.721|-85.0456|-100.922|163.176|-62.7488|SERVO1
LEFT|43.0581|170.634|45.1026|17.4603|177.083|-63.2263|-17.9182|175.287|-86.8685|-49.0073|170.728|-85.0466|-100.926|163.179|-62.7486|SERVO1
LEFT|43.0581|170.635|45.1027|17.4462|177.101|-63.2347|-17.9305|175.301|-86.8728|-49.0125|170.735|-85.0476|-100.931|163.183|-62.7482|SERVO1
LEFT|43.0581|170.635|45.1028|17.4317|177.119|-63.2434|-17.9436|175.316|-86.8774|-49.0183|170.744|-85.0487|-100.936|163.187|-62.7478|SERVO1
LEFT|43.0581|170.635|45.1029|17.4171|177.137|-63.2521|-17.9575|175.331|-86.8822|-49.0246|170.753|-85.0498|-100.942|163.19|-62.7473|SERVO1
LEFT|43.0581|170.635|45.103|17.4026|177.154|-63.2608|-17.972|175.347|-86.8873|-49.0316|170.762|-85.0511|-100.947|163.194|-62.7468|SERVO1
LEFT|43.0581|170.635|45.1031|17.3882|177.171|-63.2695|-17.9872|175.363|-86.8925|-49.0392|170.772|-85.0524|-100.953|163.198|-62.7462|SERVO1
LEFT|43.0581|170.635|45.1032|17.3743|177.187|-63.2781|-18.0026|175.38|-86.8978|-49.0473|170.783|-85.0538|-100.959|163.202|-62.7456|SERVO1
LEFT|43.0581|170.635|45.1032|17.3606|177.203|-63.2865|-18.0184|175.396|-86.9033|-49.0561|170.794|-85.0552|-100.965|163.206|-62.7448|SERVO1
LEFT|43.0581|170.635|45.1033|17.3474|177.218|-63.2948|-18.0342|175.412|-86.9088|-49.0653|170.805|-85.0568|-100.972|163.21|-62.7441|SERVO1
LEFT|43.0581|170.635|45.1034|17.3343|177.233|-63.3031|-18.05|175.428|-86.9143|-49.0749|170.817|-85.0583|-100.978|163.214|-62.7433|SERVO1
LEFT|43.0581|170.635|45.1036|17.3214|177.247|-63.3113|-18.0657|175.444|-86.9198|-49.0848|170.83|-85.06|-100.985|163.219|-62.7424|SERVO1
LEFT|43.0581|170.636|45.1042|17.3087|177.261|-63.3194|-18.0813|175.46|-86.9252|-49.0951|170.842|-85.0617|-100.993|163.223|-62.7415|SERVO1
LEFT|43.0581|170.636|45.1052|17.2965|177.274|-63.3272|-18.0968|175.475|-86.9306|-49.1056|170.855|-85.0634|-101.001|163.228|-62.7406|SERVO1
LEFT|43.0581|170.638|45.107|17.2847|177.287|-63.3348|-18.1121|175.491|-86.9359|-49.1164|170.868|-85.0651|-101.009|163.233|-62.7395|SERVO1
LEFT|43.058|170.639|45.1093|17.2732|177.3|-63.3422|-18.1276|175.507|-86.9413|-49.1274|170.881|-85.0669|-101.018|163.238|-62.7384|SERVO1
LEFT|43.058|170.641|45.1118|17.2617|177.313|-63.3496|-18.1431|175.522|-86.9466|-49.1386|170.894|-85.0687|-101.027|163.244|-62.7371|SERVO1
LEFT|43.058|170.643|45.1141|17.2501|177.325|-63.357|-18.1587|175.538|-86.952|-49.1499|170.908|-85.0705|-101.037|163.249|-62.7359|SERVO1
LEFT|43.058|170.644|45.1162|17.238|177.339|-63.3647|-18.1743|175.555|-86.9574|-49.1612|170.921|-85.0723|-101.048|163.255|-62.7345|SERVO1
LEFT|43.0581|170.645|45.1181|17.2257|177.353|-63.3726|-18.1896|175.571|-86.9627|-49.1726|170.934|-85.0741|-101.059|163.261|-62.7331|SERVO1
LEFT|43.0581|170.647|45.1204|17.213|177.367|-63.3808|-18.205|175.587|-86.968|-49.1841|170.948|-85.076|-101.07|163.268|-62.7316|SERVO1
LEFT|43.0581|170.649|45.1235|17.2002|177.381|-63.389|-18.2203|175.604|-86.9733|-49.1957|170.962|-85.0778|-101.081|163.274|-62.7302|SERVO1
LEFT|43.0582|170.652|45.1278|17.1875|177.396|-63.3972|-18.2354|175.62|-86.9786|-49.2073|170.975|-85.0796|-101.093|163.281|-62.7286|SERVO1
LEFT|43.0582|170.655|45.1332|17.1753|177.409|-63.405|-18.2499|175.636|-86.9836|-49.2189|170.989|-85.0814|-101.105|163.287|-62.7271|SERVO1
LEFT|43.0583|170.659|45.1399|17.1632|177.423|-63.4129|-18.2638|175.651|-86.9883|-49.2303|171.002|-85.0832|-101.118|163.294|-62.7254|SERVO1
LEFT|43.0584|170.665|45.1478|17.1511|177.437|-63.4207|-18.2771|175.665|-86.9929|-49.2413|171.015|-85.0848|-101.13|163.301|-62.7237|SERVO1
LEFT|43.0585|170.67|45.1569|17.1393|177.45|-63.4284|-18.2895|175.679|-86.9971|-49.2515|171.027|-85.0863|-101.143|163.308|-62.7221|SERVO1
LEFT|43.0586|170.677|45.1664|17.1276|177.463|-63.436|-18.3011|175.691|-87.0011|-49.2614|171.039|-85.0878|-101.155|163.314|-62.7204|SERVO1
LEFT|43.0587|170.683|45.1761|17.1161|177.476|-63.4435|-18.312|175.703|-87.0048|-49.2709|171.05|-85.0891|-101.167|163.321|-62.7188|SERVO1
LEFT|43.0588|170.689|45.1862|17.1048|177.489|-63.4508|-18.3219|175.714|-87.0081|-49.2797|171.06|-85.0904|-101.178|163.327|-62.7173|SERVO1
